col,d_types
MALE_DEATH_YR3_RT,float64
MALE_COMP_ORIG_YR3_RT,float64
MALE_COMP_4YR_TRANS_YR3_RT,float64
MALE_COMP_2YR_TRANS_YR3_RT,float64
MALE_WDRAW_ORIG_YR3_RT,float64
MALE_WDRAW_4YR_TRANS_YR3_RT,float64
MALE_WDRAW_2YR_TRANS_YR3_RT,float64
MALE_ENRL_ORIG_YR3_RT,float64
MALE_ENRL_4YR_TRANS_YR3_RT,float64
MALE_ENRL_2YR_TRANS_YR3_RT,float64
MALE_UNKN_ORIG_YR3_RT,float64
MALE_UNKN_4YR_TRANS_YR3_RT,float64
MALE_UNKN_2YR_TRANS_YR3_RT,float64
PELL_DEATH_YR3_RT,float64
PELL_COMP_ORIG_YR3_RT,float64
PELL_COMP_4YR_TRANS_YR3_RT,float64
PELL_COMP_2YR_TRANS_YR3_RT,float64
PELL_WDRAW_ORIG_YR3_RT,float64
PELL_WDRAW_4YR_TRANS_YR3_RT,float64
PELL_WDRAW_2YR_TRANS_YR3_RT,float64
PELL_ENRL_ORIG_YR3_RT,float64
PELL_ENRL_4YR_TRANS_YR3_RT,float64
PELL_ENRL_2YR_TRANS_YR3_RT,float64
PELL_UNKN_ORIG_YR3_RT,float64
PELL_UNKN_4YR_TRANS_YR3_RT,float64
PELL_UNKN_2YR_TRANS_YR3_RT,float64
NOPELL_DEATH_YR3_RT,float64
NOPELL_COMP_ORIG_YR3_RT,float64
NOPELL_COMP_4YR_TRANS_YR3_RT,float64
NOPELL_COMP_2YR_TRANS_YR3_RT,float64
NOPELL_WDRAW_ORIG_YR3_RT,float64
NOPELL_WDRAW_4YR_TRANS_YR3_RT,float64
NOPELL_WDRAW_2YR_TRANS_YR3_RT,float64
NOPELL_ENRL_ORIG_YR3_RT,float64
NOPELL_ENRL_4YR_TRANS_YR3_RT,float64
NOPELL_ENRL_2YR_TRANS_YR3_RT,float64
NOPELL_UNKN_ORIG_YR3_RT,float64
NOPELL_UNKN_4YR_TRANS_YR3_RT,float64
NOPELL_UNKN_2YR_TRANS_YR3_RT,float64
LOAN_DEATH_YR3_RT,float64
LOAN_COMP_ORIG_YR3_RT,float64
LOAN_COMP_4YR_TRANS_YR3_RT,float64
LOAN_COMP_2YR_TRANS_YR3_RT,float64
LOAN_WDRAW_ORIG_YR3_RT,float64
LOAN_WDRAW_4YR_TRANS_YR3_RT,float64
LOAN_WDRAW_2YR_TRANS_YR3_RT,float64
LOAN_ENRL_ORIG_YR3_RT,float64
LOAN_ENRL_4YR_TRANS_YR3_RT,float64
LOAN_ENRL_2YR_TRANS_YR3_RT,float64
LOAN_UNKN_ORIG_YR3_RT,float64
LOAN_UNKN_4YR_TRANS_YR3_RT,float64
LOAN_UNKN_2YR_TRANS_YR3_RT,float64
NOLOAN_DEATH_YR3_RT,float64
NOLOAN_COMP_ORIG_YR3_RT,float64
NOLOAN_COMP_4YR_TRANS_YR3_RT,float64
NOLOAN_COMP_2YR_TRANS_YR3_RT,float64
NOLOAN_WDRAW_ORIG_YR3_RT,float64
NOLOAN_WDRAW_4YR_TRANS_YR3_RT,float64
NOLOAN_WDRAW_2YR_TRANS_YR3_RT,float64
NOLOAN_ENRL_ORIG_YR3_RT,float64
NOLOAN_ENRL_4YR_TRANS_YR3_RT,float64
NOLOAN_ENRL_2YR_TRANS_YR3_RT,float64
NOLOAN_UNKN_ORIG_YR3_RT,float64
NOLOAN_UNKN_4YR_TRANS_YR3_RT,float64
